행정구역,2019년09월_전월인구수_남자인구수,2019년09월_전월인구수_여자인구수,2019년09월_전월인구수_계,2019년09월_당월인구수_남자인구수,2019년09월_당월인구수_여자인구수,2019년09월_당월인구수_계,2019년09월_인구증감_남자인구수,2019년09월_인구증감_여자인구수,2019년09월_인구증감_계,2019년10월_전월인구수_남자인구수,2019년10월_전월인구수_여자인구수,2019년10월_전월인구수_계,2019년10월_당월인구수_남자인구수,2019년10월_당월인구수_여자인구수,2019년10월_당월인구수_계,2019년10월_인구증감_남자인구수,2019년10월_인구증감_여자인구수,2019년10월_인구증감_계,2019년11월_전월인구수_남자인구수,2019년11월_전월인구수_여자인구수,2019년11월_전월인구수_계,2019년11월_당월인구수_남자인구수,2019년11월_당월인구수_여자인구수,2019년11월_당월인구수_계,2019년11월_인구증감_남자인구수,2019년11월_인구증감_여자인구수,2019년11월_인구증감_계,2019년12월_전월인구수_남자인구수,2019년12월_전월인구수_여자인구수,2019년12월_전월인구수_계,2019년12월_당월인구수_남자인구수,2019년12월_당월인구수_여자인구수,2019년12월_당월인구수_계,2019년12월_인구증감_남자인구수,2019년12월_인구증감_여자인구수,2019년12월_인구증감_계,2020년01월_전월인구수_남자인구수,2020년01월_전월인구수_여자인구수,2020년01월_전월인구수_계,2020년01월_당월인구수_남자인구수,2020년01월_당월인구수_여자인구수,2020년01월_당월인구수_계,2020년01월_인구증감_남자인구수,2020년01월_인구증감_여자인구수,2020년01월_인구증감_계,2020년02월_전월인구수_남자인구수,2020년02월_전월인구수_여자인구수,2020년02월_전월인구수_계,2020년02월_당월인구수_남자인구수,2020년02월_당월인구수_여자인구수,2020년02월_당월인구수_계,2020년02월_인구증감_남자인구수,2020년02월_인구증감_여자인구수,2020년02월_인구증감_계,2020년03월_전월인구수_남자인구수,2020년03월_전월인구수_여자인구수,2020년03월_전월인구수_계,2020년03월_당월인구수_남자인구수,2020년03월_당월인구수_여자인구수,2020년03월_당월인구수_계,2020년03월_인구증감_남자인구수,2020년03월_인구증감_여자인구수,2020년03월_인구증감_계,2020년04월_전월인구수_남자인구수,2020년04월_전월인구수_여자인구수,2020년04월_전월인구수_계,2020년04월_당월인구수_남자인구수,2020년04월_당월인구수_여자인구수,2020년04월_당월인구수_계,2020년04월_인구증감_남자인구수,2020년04월_인구증감_여자인구수,2020년04월_인구증감_계,2020년05월_전월인구수_남자인구수,2020년05월_전월인구수_여자인구수,2020년05월_전월인구수_계,2020년05월_당월인구수_남자인구수,2020년05월_당월인구수_여자인구수,2020년05월_당월인구수_계,2020년05월_인구증감_남자인구수,2020년05월_인구증감_여자인구수,2020년05월_인구증감_계,2020년06월_전월인구수_남자인구수,2020년06월_전월인구수_여자인구수,2020년06월_전월인구수_계,2020년06월_당월인구수_남자인구수,2020년06월_당월인구수_여자인구수,2020년06월_당월인구수_계,2020년06월_인구증감_남자인구수,2020년06월_인구증감_여자인구수,2020년06월_인구증감_계,2020년07월_전월인구수_남자인구수,2020년07월_전월인구수_여자인구수,2020년07월_전월인구수_계,2020년07월_당월인구수_남자인구수,2020년07월_당월인구수_여자인구수,2020년07월_당월인구수_계,2020년07월_인구증감_남자인구수,2020년07월_인구증감_여자인구수,2020년07월_인구증감_계,2020년08월_전월인구수_남자인구수,2020년08월_전월인구수_여자인구수,2020년08월_전월인구수_계,2020년08월_당월인구수_남자인구수,2020년08월_당월인구수_여자인구수,2020년08월_당월인구수_계,2020년08월_인구증감_남자인구수,2020년08월_인구증감_여자인구수,2020년08월_인구증감_계,2020년09월_전월인구수_남자인구수,2020년09월_전월인구수_여자인구수,2020년09월_전월인구수_계,2020년09월_당월인구수_남자인구수,2020년09월_당월인구수_여자인구수,2020년09월_당월인구수_계,2020년09월_인구증감_남자인구수,2020년09월_인구증감_여자인구수,2020년09월_인구증감_계,2020년10월_전월인구수_남자인구수,2020년10월_전월인구수_여자인구수,2020년10월_전월인구수_계,2020년10월_당월인구수_남자인구수,2020년10월_당월인구수_여자인구수,2020년10월_당월인구수_계,2020년10월_인구증감_남자인구수,2020년10월_인구증감_여자인구수,2020년10월_인구증감_계,2020년11월_전월인구수_남자인구수,2020년11월_전월인구수_여자인구수,2020년11월_전월인구수_계,2020년11월_당월인구수_남자인구수,2020년11월_당월인구수_여자인구수,2020년11월_당월인구수_계,2020년11월_인구증감_남자인구수,2020년11월_인구증감_여자인구수,2020년11월_인구증감_계,2020년12월_전월인구수_남자인구수,2020년12월_전월인구수_여자인구수,2020년12월_전월인구수_계,2020년12월_당월인구수_남자인구수,2020년12월_당월인구수_여자인구수,2020년12월_당월인구수_계,2020년12월_인구증감_남자인구수,2020년12월_인구증감_여자인구수,2020년12월_인구증감_계,2021년01월_전월인구수_남자인구수,2021년01월_전월인구수_여자인구수,2021년01월_전월인구수_계,2021년01월_당월인구수_남자인구수,2021년01월_당월인구수_여자인구수,2021년01월_당월인구수_계,2021년01월_인구증감_남자인구수,2021년01월_인구증감_여자인구수,2021년01월_인구증감_계,2021년02월_전월인구수_남자인구수,2021년02월_전월인구수_여자인구수,2021년02월_전월인구수_계,2021년02월_당월인구수_남자인구수,2021년02월_당월인구수_여자인구수,2021년02월_당월인구수_계,2021년02월_인구증감_남자인구수,2021년02월_인구증감_여자인구수,2021년02월_인구증감_계,2021년03월_전월인구수_남자인구수,2021년03월_전월인구수_여자인구수,2021년03월_전월인구수_계,2021년03월_당월인구수_남자인구수,2021년03월_당월인구수_여자인구수,2021년03월_당월인구수_계,2021년03월_인구증감_남자인구수,2021년03월_인구증감_여자인구수,2021년03월_인구증감_계,2021년04월_전월인구수_남자인구수,2021년04월_전월인구수_여자인구수,2021년04월_전월인구수_계,2021년04월_당월인구수_남자인구수,2021년04월_당월인구수_여자인구수,2021년04월_당월인구수_계,2021년04월_인구증감_남자인구수,2021년04월_인구증감_여자인구수,2021년04월_인구증감_계,2021년05월_전월인구수_남자인구수,2021년05월_전월인구수_여자인구수,2021년05월_전월인구수_계,2021년05월_당월인구수_남자인구수,2021년05월_당월인구수_여자인구수,2021년05월_당월인구수_계,2021년05월_인구증감_남자인구수,2021년05월_인구증감_여자인구수,2021년05월_인구증감_계,2021년06월_전월인구수_남자인구수,2021년06월_전월인구수_여자인구수,2021년06월_전월인구수_계,2021년06월_당월인구수_남자인구수,2021년06월_당월인구수_여자인구수,2021년06월_당월인구수_계,2021년06월_인구증감_남자인구수,2021년06월_인구증감_여자인구수,2021년06월_인구증감_계,2021년07월_전월인구수_남자인구수,2021년07월_전월인구수_여자인구수,2021년07월_전월인구수_계,2021년07월_당월인구수_남자인구수,2021년07월_당월인구수_여자인구수,2021년07월_당월인구수_계,2021년07월_인구증감_남자인구수,2021년07월_인구증감_여자인구수,2021년07월_인구증감_계,2021년08월_전월인구수_남자인구수,2021년08월_전월인구수_여자인구수,2021년08월_전월인구수_계,2021년08월_당월인구수_남자인구수,2021년08월_당월인구수_여자인구수,2021년08월_당월인구수_계,2021년08월_인구증감_남자인구수,2021년08월_인구증감_여자인구수,2021년08월_인구증감_계,2021년09월_전월인구수_남자인구수,2021년09월_전월인구수_여자인구수,2021년09월_전월인구수_계,2021년09월_당월인구수_남자인구수,2021년09월_당월인구수_여자인구수,2021년09월_당월인구수_계,2021년09월_인구증감_남자인구수,2021년09월_인구증감_여자인구수,2021년09월_인구증감_계
경기도 고양시 (4128000000),"517,685","538,188","1,055,873","519,410","539,930","1,059,340","1,725","1,742","3,467","519,410","539,930","1,059,340","520,659","541,270","1,061,929","1,249","1,340","2,589","520,659","541,270","1,061,929","521,818","542,400","1,064,218","1,159","1,130","2,289","521,818","542,400","1,064,218","522,749","543,602","1,066,351",931,"1,202","2,133","522,749","543,602","1,066,351","523,803","544,838","1,068,641","1,054","1,236","2,290","523,803","544,838","1,068,641","524,883","546,119","1,071,002","1,080","1,281","2,361","524,883","546,119","1,071,002","525,756","547,153","1,072,909",873,"1,034","1,907","525,756","547,153","1,072,909","526,681","548,172","1,074,853",925,"1,019","1,944","526,681","548,172","1,074,853","527,304","548,875","1,076,179",623,703,"1,326","527,304","548,875","1,076,179","527,663","549,333","1,076,996",359,458,817,"527,663","549,333","1,076,996","527,701","549,646","1,077,347",38,313,351,"527,701","549,646","1,077,347","527,215","549,191","1,076,406",-486,-455,-941,"527,215","549,191","1,076,406","526,928","548,913","1,075,841",-287,-278,-565,"526,928","548,913","1,075,841","527,169","549,395","1,076,564",241,482,723,"527,169","549,395","1,076,564","527,834","550,213","1,078,047",665,818,"1,483","527,834","550,213","1,078,047","528,480","550,736","1,079,216",646,523,"1,169","528,480","550,736","1,079,216","529,378","551,797","1,081,175",898,"1,061","1,959","529,378","551,797","1,081,175","529,886","552,534","1,082,420",508,737,"1,245","529,886","552,534","1,082,420","529,227","551,618","1,080,845",-659,-916,"-1,575","529,227","551,618","1,080,845","529,062","551,674","1,080,736",-165,56,-109,"529,062","551,674","1,080,736","529,030","551,626","1,080,656",-32,-48,-80,"529,030","551,626","1,080,656","528,924","551,583","1,080,507",-106,-43,-149,"528,924","551,583","1,080,507","529,135","551,910","1,081,045",211,327,538,"529,135","551,910","1,081,045","528,972","551,924","1,080,896",-163,14,-149,"528,972","551,924","1,080,896","528,911","551,876","1,080,787",-61,-48,-109
경기도 고양시 덕양구 (4128100000),"227,508","231,787","459,295","228,946","233,193","462,139","1,438","1,406","2,844","228,946","233,193","462,139","229,626","234,017","463,643",680,824,"1,504","229,626","234,017","463,643","230,171","234,462","464,633",545,445,990,"230,171","234,462","464,633","230,858","235,299","466,157",687,837,"1,524","230,858","235,299","466,157","231,540","236,133","467,673",682,834,"1,516","231,540","236,133","467,673","232,485","237,186","469,671",945,"1,053","1,998","232,485","237,186","469,671","233,101","237,938","471,039",616,752,"1,368","233,101","237,938","471,039","233,744","238,723","472,467",643,785,"1,428","233,744","238,723","472,467","234,171","239,151","473,322",427,428,855,"234,171","239,151","473,322","234,384","239,428","473,812",213,277,490,"234,384","239,428","473,812","234,514","239,604","474,118",130,176,306,"234,514","239,604","474,118","234,249","239,440","473,689",-265,-164,-429,"234,249","239,440","473,689","234,209","239,385","473,594",-40,-55,-95,"234,209","239,385","473,594","234,680","239,978","474,658",471,593,"1,064","234,680","239,978","474,658","235,485","240,856","476,341",805,878,"1,683","235,485","240,856","476,341","235,773","241,189","476,962",288,333,621,"235,773","241,189","476,962","236,307","241,840","478,147",534,651,"1,185","236,307","241,840","478,147","236,862","242,533","479,395",555,693,"1,248","236,862","242,533","479,395","236,865","242,458","479,323",3,-75,-72,"236,865","242,458","479,323","237,074","242,754","479,828",209,296,505,"237,074","242,754","479,828","237,211","242,945","480,156",137,191,328,"237,211","242,945","480,156","237,312","243,074","480,386",101,129,230,"237,312","243,074","480,386","237,593","243,460","481,053",281,386,667,"237,593","243,460","481,053","237,826","243,815","481,641",233,355,588,"237,826","243,815","481,641","237,936","243,954","481,890",110,139,249
경기도 고양시 일산동구 (4128500000),"143,094","150,710","293,804","143,533","151,135","294,668",439,425,864,"143,533","151,135","294,668","144,231","151,801","296,032",698,666,"1,364","144,231","151,801","296,032","144,700","152,327","297,027",469,526,995,"144,700","152,327","297,027","144,991","152,680","297,671",291,353,644,"144,991","152,680","297,671","145,190","152,903","298,093",199,223,422,"145,190","152,903","298,093","145,363","153,082","298,445",173,179,352,"145,363","153,082","298,445","145,533","153,330","298,863",170,248,418,"145,533","153,330","298,863","145,716","153,560","299,276",183,230,413,"145,716","153,560","299,276","145,689","153,613","299,302",-27,53,26,"145,689","153,613","299,302","145,711","153,612","299,323",22,-1,21,"145,711","153,612","299,323","145,684","153,644","299,328",-27,32,5,"145,684","153,644","299,328","145,582","153,556","299,138",-102,-88,-190,"145,582","153,556","299,138","145,462","153,439","298,901",-120,-117,-237,"145,462","153,439","298,901","145,358","153,368","298,726",-104,-71,-175,"145,358","153,368","298,726","145,341","153,384","298,725",-17,16,-1,"145,341","153,384","298,725","145,874","153,842","299,716",533,458,991,"145,874","153,842","299,716","146,316","154,349","300,665",442,507,949,"146,316","154,349","300,665","146,365","154,485","300,850",49,136,185,"146,365","154,485","300,850","146,157","154,193","300,350",-208,-292,-500,"146,157","154,193","300,350","146,147","154,260","300,407",-10,67,57,"146,147","154,260","300,407","146,195","154,242","300,437",48,-18,30,"146,195","154,242","300,437","146,160","154,166","300,326",-35,-76,-111,"146,160","154,166","300,326","146,087","154,145","300,232",-73,-21,-94,"146,087","154,145","300,232","145,977","154,008","299,985",-110,-137,-247,"145,977","154,008","299,985","145,945","153,983","299,928",-32,-25,-57
경기도 고양시 일산서구 (4128700000),"147,083","155,691","302,774","146,931","155,602","302,533",-152,-89,-241,"146,931","155,602","302,533","146,802","155,452","302,254",-129,-150,-279,"146,802","155,452","302,254","146,947","155,611","302,558",145,159,304,"146,947","155,611","302,558","146,900","155,623","302,523",-47,12,-35,"146,900","155,623","302,523","147,073","155,802","302,875",173,179,352,"147,073","155,802","302,875","147,035","155,851","302,886",-38,49,11,"147,035","155,851","302,886","147,122","155,885","303,007",87,34,121,"147,122","155,885","303,007","147,221","155,889","303,110",99,4,103,"147,221","155,889","303,110","147,444","156,111","303,555",223,222,445,"147,444","156,111","303,555","147,568","156,293","303,861",124,182,306,"147,568","156,293","303,861","147,503","156,398","303,901",-65,105,40,"147,503","156,398","303,901","147,384","156,195","303,579",-119,-203,-322,"147,384","156,195","303,579","147,257","156,089","303,346",-127,-106,-233,"147,257","156,089","303,346","147,131","156,049","303,180",-126,-40,-166,"147,131","156,049","303,180","147,008","155,973","302,981",-123,-76,-199,"147,008","155,973","302,981","146,833","155,705","302,538",-175,-268,-443,"146,833","155,705","302,538","146,755","155,608","302,363",-78,-97,-175,"146,755","155,608","302,363","146,659","155,516","302,175",-96,-92,-188,"146,659","155,516","302,175","146,205","154,967","301,172",-454,-549,"-1,003","146,205","154,967","301,172","145,841","154,660","300,501",-364,-307,-671,"145,841","154,660","300,501","145,624","154,439","300,063",-217,-221,-438,"145,624","154,439","300,063","145,452","154,343","299,795",-172,-96,-268,"145,452","154,343","299,795","145,455","154,305","299,760",3,-38,-35,"145,455","154,305","299,760","145,169","154,101","299,270",-286,-204,-490,"145,169","154,101","299,270","145,030","153,939","298,969",-139,-162,-301
경기도 과천시 (4129000000),"28,457","29,579","58,036","28,494","29,549","58,043",37,-30,7,"28,494","29,549","58,043","28,482","29,515","57,997",-12,-34,-46,"28,482","29,515","57,997","28,541","29,566","58,107",59,51,110,"28,541","29,566","58,107","28,638","29,651","58,289",97,85,182,"28,638","29,651","58,289","28,650","29,684","58,334",12,33,45,"28,650","29,684","58,334","28,616","29,637","58,253",-34,-47,-81,"28,616","29,637","58,253","28,633","29,647","58,280",17,10,27,"28,633","29,647","58,280","29,341","30,346","59,687",708,699,"1,407","29,341","30,346","59,687","29,872","30,918","60,790",531,572,"1,103","29,872","30,918","60,790","30,125","31,184","61,309",253,266,519,"30,125","31,184","61,309","30,296","31,421","61,717",171,237,408,"30,296","31,421","61,717","30,374","31,528","61,902",78,107,185,"30,374","31,528","61,902","30,431","31,551","61,982",57,23,80,"30,431","31,551","61,982","30,459","31,552","62,011",28,1,29,"30,459","31,552","62,011","30,466","31,560","62,026",7,8,15,"30,466","31,560","62,026","31,068","32,163","63,231",602,603,"1,205","31,068","32,163","63,231","31,675","32,874","64,549",607,711,"1,318","31,675","32,874","64,549","33,019","34,260","67,279","1,344","1,386","2,730","33,019","34,260","67,279","33,581","34,818","68,399",562,558,"1,120","33,581","34,818","68,399","33,846","35,109","68,955",265,291,556,"33,846","35,109","68,955","33,887","35,140","69,027",41,31,72,"33,887","35,140","69,027","34,036","35,240","69,276",149,100,249,"34,036","35,240","69,276","34,151","35,358","69,509",115,118,233,"34,151","35,358","69,509","34,223","35,417","69,640",72,59,131,"34,223","35,417","69,640","34,275","35,457","69,732",52,40,92
경기도 구리시 (4131000000),"99,430","100,775","200,205","99,123","100,472","199,595",-307,-303,-610,"99,123","100,472","199,595","98,926","100,313","199,239",-197,-159,-356,"98,926","100,313","199,239","98,985","100,274","199,259",59,-39,20,"98,985","100,274","199,259","98,968","100,297","199,265",-17,23,6,"98,968","100,297","199,265","98,858","100,157","199,015",-110,-140,-250,"98,858","100,157","199,015","98,807","100,114","198,921",-51,-43,-94,"98,807","100,114","198,921","98,873","100,226","199,099",66,112,178,"98,873","100,226","199,099","98,816","100,202","199,018",-57,-24,-81,"98,816","100,202","199,018","98,734","100,149","198,883",-82,-53,-135,"98,734","100,149","198,883","98,503","99,958","198,461",-231,-191,-422,"98,503","99,958","198,461","98,386","99,826","198,212",-117,-132,-249,"98,386","99,826","198,212","98,262","99,627","197,889",-124,-199,-323,"98,262","99,627","197,889","98,260","99,714","197,974",-2,87,85,"98,260","99,714","197,974","98,145","99,636","197,781",-115,-78,-193,"98,145","99,636","197,781","98,033","99,575","197,608",-112,-61,-173,"98,033","99,575","197,608","97,939","99,515","197,454",-94,-60,-154,"97,939","99,515","197,454","97,836","99,381","197,217",-103,-134,-237,"97,836","99,381","197,217","97,601","99,084","196,685",-235,-297,-532,"97,601","99,084","196,685","97,184","98,620","195,804",-417,-464,-881,"97,184","98,620","195,804","96,900","98,424","195,324",-284,-196,-480,"96,900","98,424","195,324","96,640","98,198","194,838",-260,-226,-486,"96,640","98,198","194,838","96,457","97,932","194,389",-183,-266,-449,"96,457","97,932","194,389","96,227","97,727","193,954",-230,-205,-435,"96,227","97,727","193,954","96,074","97,588","193,662",-153,-139,-292,"96,074","97,588","193,662","95,966","97,444","193,410",-108,-144,-252
경기도 남양주시 (4136000000),"347,547","349,678","697,225","348,496","350,830","699,326",949,"1,152","2,101","348,496","350,830","699,326","349,141","351,457","700,598",645,627,"1,272","349,141","351,457","700,598","349,286","351,805","701,091",145,348,493,"349,286","351,805","701,091","349,664","352,166","701,830",378,361,739,"349,664","352,166","701,830","350,058","352,487","702,545",394,321,715,"350,058","352,487","702,545","350,840","353,332","704,172",782,845,"1,627","350,840","353,332","704,172","351,413","353,851","705,264",573,519,"1,092","351,413","353,851","705,264","351,837","354,232","706,069",424,381,805,"351,837","354,232","706,069","351,990","354,454","706,444",153,222,375,"351,990","354,454","706,444","352,439","355,046","707,485",449,592,"1,041","352,439","355,046","707,485","353,217","356,030","709,247",778,984,"1,762","353,217","356,030","709,247","353,465","356,416","709,881",248,386,634,"353,465","356,416","709,881","353,701","356,732","710,433",236,316,552,"353,701","356,732","710,433","354,477","357,338","711,815",776,606,"1,382","354,477","357,338","711,815","355,027","357,873","712,900",550,535,"1,085","355,027","357,873","712,900","355,197","358,124","713,321",170,251,421,"355,197","358,124","713,321","355,980","358,842","714,822",783,718,"1,501","355,980","358,842","714,822","357,710","360,724","718,434","1,730","1,882","3,612","357,710","360,724","718,434","358,682","361,600","720,282",972,876,"1,848","358,682","361,600","720,282","359,354","362,413","721,767",672,813,"1,485","359,354","362,413","721,767","360,076","363,139","723,215",722,726,"1,448","360,076","363,139","723,215","360,473","363,710","724,183",397,571,968,"360,473","363,710","724,183","360,803","364,228","725,031",330,518,848,"360,803","364,228","725,031","361,913","365,308","727,221","1,110","1,080","2,190","361,913","365,308","727,221","362,614","366,050","728,664",701,742,"1,443"
경기도 오산시 (4137000000),"114,441","107,228","221,669","115,127","107,854","222,981",686,626,"1,312","115,127","107,854","222,981","115,730","108,383","224,113",603,529,"1,132","115,730","108,383","224,113","116,401","109,045","225,446",671,662,"1,333","116,401","109,045","225,446","116,904","109,475","226,379",503,430,933,"116,904","109,475","226,379","117,148","109,588","226,736",244,113,357,"117,148","109,588","226,736","117,239","109,661","226,900",91,73,164,"117,239","109,661","226,900","117,359","109,753","227,112",120,92,212,"117,359","109,753","227,112","117,610","109,940","227,550",251,187,438,"117,610","109,940","227,550","117,796","109,953","227,749",186,13,199,"117,796","109,953","227,749","117,949","110,162","228,111",153,209,362,"117,949","110,162","228,111","118,057","110,266","228,323",108,104,212,"118,057","110,266","228,323","118,304","110,464","228,768",247,198,445,"118,304","110,464","228,768","118,568","110,681","229,249",264,217,481,"118,568","110,681","229,249","118,665","110,759","229,424",97,78,175,"118,665","110,759","229,424","118,706","110,885","229,591",41,126,167,"118,706","110,885","229,591","118,785","110,940","229,725",79,55,134,"118,785","110,940","229,725","118,964","111,078","230,042",179,138,317,"118,964","111,078","230,042","119,237","111,285","230,522",273,207,480,"119,237","111,285","230,522","119,343","111,261","230,604",106,-24,82,"119,343","111,261","230,604","119,513","111,256","230,769",170,-5,165,"119,513","111,256","230,769","119,532","111,170","230,702",19,-86,-67,"119,532","111,170","230,702","119,561","111,144","230,705",29,-26,3,"119,561","111,144","230,705","119,588","111,069","230,657",27,-75,-48,"119,588","111,069","230,657","119,590","110,965","230,555",2,-104,-102,"119,590","110,965","230,555","119,558","110,837","230,395",-32,-128,-160
경기도 시흥시 (4139000000),"244,379","222,583","466,962","245,091","223,183","468,274",712,600,"1,312","245,091","223,183","468,274","246,360","224,399","470,759","1,269","1,216","2,485","246,360","224,399","470,759","247,082","225,080","472,162",722,681,"1,403","247,082","225,080","472,162","247,804","225,878","473,682",722,798,"1,520","247,804","225,878","473,682","248,693","226,703","475,396",889,825,"1,714","248,693","226,703","475,396","249,307","227,174","476,481",614,471,"1,085","249,307","227,174","476,481","249,786","227,639","477,425",479,465,944,"249,786","227,639","477,425","250,312","228,152","478,464",526,513,"1,039","250,312","228,152","478,464","250,780","228,588","479,368",468,436,904,"250,780","228,588","479,368","251,904","229,526","481,430","1,124",938,"2,062","251,904","229,526","481,430","253,293","230,871","484,164","1,389","1,345","2,734","253,293","230,871","484,164","255,745","233,332","489,077","2,452","2,461","4,913","255,745","233,332","489,077","257,762","235,243","493,005","2,017","1,911","3,928","257,762","235,243","493,005","258,939","236,452","495,391","1,177","1,209","2,386","258,939","236,452","495,391","260,233","237,692","497,925","1,294","1,240","2,534","260,233","237,692","497,925","261,730","239,165","500,895","1,497","1,473","2,970","261,730","239,165","500,895","263,749","241,186","504,935","2,019","2,021","4,040","263,749","241,186","504,935","265,172","242,509","507,681","1,423","1,323","2,746","265,172","242,509","507,681","265,947","243,168","509,115",775,659,"1,434","265,947","243,168","509,115","266,410","243,688","510,098",463,520,983,"266,410","243,688","510,098","266,839","243,994","510,833",429,306,735,"266,839","243,994","510,833","267,078","244,236","511,314",239,242,481,"267,078","244,236","511,314","267,186","244,561","511,747",108,325,433,"267,186","244,561","511,747","267,236","244,571","511,807",50,10,60,"267,236","244,571","511,807","267,334","244,566","511,900",98,-5,93
경기도 군포시 (4141000000),"136,165","138,330","274,495","136,269","138,398","274,667",104,68,172,"136,269","138,398","274,667","136,439","138,690","275,129",170,292,462,"136,439","138,690","275,129","136,666","138,880","275,546",227,190,417,"136,666","138,880","275,546","136,878","138,974","275,852",212,94,306,"136,878","138,974","275,852","136,990","138,999","275,989",112,25,137,"136,990","138,999","275,989","136,998","138,859","275,857",8,-140,-132,"136,998","138,859","275,857","137,040","138,920","275,960",42,61,103,"137,040","138,920","275,960","137,034","138,920","275,954",-6,0,-6,"137,034","138,920","275,954","137,001","138,901","275,902",-33,-19,-52,"137,001","138,901","275,902","137,037","139,002","276,039",36,101,137,"137,037","139,002","276,039","137,053","138,942","275,995",16,-60,-44,"137,053","138,942","275,995","136,823","138,685","275,508",-230,-257,-487,"136,823","138,685","275,508","136,530","138,455","274,985",-293,-230,-523,"136,530","138,455","274,985","136,329","138,291","274,620",-201,-164,-365,"136,329","138,291","274,620","136,130","138,179","274,309",-199,-112,-311,"136,130","138,179","274,309","135,834","137,957","273,791",-296,-222,-518,"135,834","137,957","273,791","135,726","137,816","273,542",-108,-141,-249,"135,726","137,816","273,542","135,192","137,341","272,533",-534,-475,"-1,009","135,192","137,341","272,533","134,603","136,789","271,392",-589,-552,"-1,141","134,603","136,789","271,392","134,427","136,580","271,007",-176,-209,-385,"134,427","136,580","271,007","134,288","136,466","270,754",-139,-114,-253,"134,288","136,466","270,754","134,167","136,417","270,584",-121,-49,-170,"134,167","136,417","270,584","133,999","136,294","270,293",-168,-123,-291,"133,999","136,294","270,293","133,758","135,994","269,752",-241,-300,-541,"133,758","135,994","269,752","133,641","135,866","269,507",-117,-128,-245
경기도 의왕시 (4143000000),"79,738","79,982","159,720","79,838","80,073","159,911",100,91,191,"79,838","80,073","159,911","79,833","80,190","160,023",-5,117,112,"79,833","80,190","160,023","79,843","80,202","160,045",10,12,22,"79,843","80,202","160,045","80,353","80,800","161,153",510,598,"1,108","80,353","80,800","161,153","80,957","81,515","162,472",604,715,"1,319","80,957","81,515","162,472","81,709","82,273","163,982",752,758,"1,510","81,709","82,273","163,982","82,016","82,586","164,602",307,313,620,"82,016","82,586","164,602","82,049","82,652","164,701",33,66,99,"82,049","82,652","164,701","81,782","82,368","164,150",-267,-284,-551,"81,782","82,368","164,150","81,480","82,142","163,622",-302,-226,-528,"81,480","82,142","163,622","81,175","81,874","163,049",-305,-268,-573,"81,175","81,874","163,049","81,006","81,745","162,751",-169,-129,-298,"81,006","81,745","162,751","81,504","82,216","163,720",498,471,969,"81,504","82,216","163,720","81,603","82,357","163,960",99,141,240,"81,603","82,357","163,960","81,584","82,394","163,978",-19,37,18,"81,584","82,394","163,978","81,470","82,325","163,795",-114,-69,-183,"81,470","82,325","163,795","81,379","82,206","163,585",-91,-119,-210,"81,379","82,206","163,585","81,175","82,033","163,208",-204,-173,-377,"81,175","82,033","163,208","80,839","81,604","162,443",-336,-429,-765,"80,839","81,604","162,443","80,714","81,513","162,227",-125,-91,-216,"80,714","81,513","162,227","80,710","81,529","162,239",-4,16,12,"80,710","81,529","162,239","80,667","81,548","162,215",-43,19,-24,"80,667","81,548","162,215","81,009","81,916","162,925",342,368,710,"81,009","81,916","162,925","81,300","82,210","163,510",291,294,585,"81,300","82,210","163,510","81,403","82,312","163,715",103,102,205
경기도 하남시 (4145000000),"134,903","133,283","268,186","135,623","133,916","269,539",720,633,"1,353","135,623","133,916","269,539","136,052","134,443","270,495",429,527,956,"136,052","134,443","270,495","136,553","135,021","271,574",501,578,"1,079","136,553","135,021","271,574","136,985","135,470","272,455",432,449,881,"136,985","135,470","272,455","137,533","136,054","273,587",548,584,"1,132","137,533","136,054","273,587","138,362","137,022","275,384",829,968,"1,797","138,362","137,022","275,384","139,324","138,107","277,431",962,"1,085","2,047","139,324","138,107","277,431","140,443","139,178","279,621","1,119","1,071","2,190","140,443","139,178","279,621","141,301","140,039","281,340",858,861,"1,719","141,301","140,039","281,340","142,312","140,944","283,256","1,011",905,"1,916","142,312","140,944","283,256","142,973","141,534","284,507",661,590,"1,251","142,973","141,534","284,507","143,555","142,138","285,693",582,604,"1,186","143,555","142,138","285,693","144,433","143,019","287,452",878,881,"1,759","144,433","143,019","287,452","145,167","143,755","288,922",734,736,"1,470","145,167","143,755","288,922","146,255","144,820","291,075","1,088","1,065","2,153","146,255","144,820","291,075","147,424","146,028","293,452","1,169","1,208","2,377","147,424","146,028","293,452","148,229","146,893","295,122",805,865,"1,670","148,229","146,893","295,122","149,595","148,410","298,005","1,366","1,517","2,883","149,595","148,410","298,005","150,678","149,509","300,187","1,083","1,099","2,182","150,678","149,509","300,187","151,429","150,372","301,801",751,863,"1,614","151,429","150,372","301,801","151,874","150,807","302,681",445,435,880,"151,874","150,807","302,681","153,427","152,481","305,908","1,553","1,674","3,227","153,427","152,481","305,908","154,574","153,816","308,390","1,147","1,335","2,482","154,574","153,816","308,390","155,478","154,887","310,365",904,"1,071","1,975","155,478","154,887","310,365","156,333","155,826","312,159",855,939,"1,794"
